ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงานรวม,แรงม้า
1929,3-106-37/54ขก,1.04E+13,บริษัท แสงจันทร์รีไซเคิล จำกัด,บริษัท แสงจันทร์รีไซเคิล จำกัด,ล้างขวด,เลขที่ 356,19,,,ท่าพระ,เมืองขอนแก่น,ขอนแก่น,40260,043-261561,41450000,65,2143
1930,3-106-46/64ขก,1.04004E+13,ห้างหุ้นส่วนจำกัด หมูเงินหมูทอง,ห้างหุ้นส่วนจำกัด หมูเงินหมูทอง,ทำปุ๋ยอินทรีย์จากกากตะกอนชีวภาพที่ไม่เป็นของเสียอันตราย,เลขที่ 185,18,,ขอนแก่น-มหาสารคาม,ท่าพระ,เมืองขอนแก่น,ขอนแก่น,40260,043346567 ต่อ4606,12900000,5,50.75
1931,3-106-55/64ขก,1.04004E+13,ลานหินลาดเจริญสุข,นางสาวปิยะวรรณ  ปิยะพรมดี,ตากกากมันสัมปะหลัง,เลขที่ 104,7,,,หินตั้ง,บ้านไผ่,ขอนแก่น,40110,,12000000,8,442.5
1932,3-106-78/64ขก,1.04005E+13,บริษัท ศูนย์การจัดการวัสดุเหลือใช้ จำกัด,บริษัท ศูนย์การจัดการวัสดุเหลือใช้ จำกัด,บดย่อยเศษแก้วที่ไม่เป็นของเสียอันตราย,เลขที่ 272,1,,,ดอนหัน,เมืองขอนแก่น,ขอนแก่น,40260,086-30766360,60000000,21,218.5
1933,3-105-10/63อด,1.041E+13,ไพศาลค้าของเก่า,นายพล  ราชโยธา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 532,1,,,บ้านผือ,บ้านผือ,อุดรธานี,41160,,3000000,4,425
1934,3-105-20/56อด,1.041E+13,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,บริษัท บุญเลี้ยงพลาสติก รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,เลขที่ 136,4,-,-,คำบง,บ้านผือ,อุดรธานี,41160,08 1984 2875,4250000,55,19
1935,3-105-30/63อด,1.04101E+13,บริษัท เทพมงคลสตีล จำกัด,บริษัท เทพมงคลสตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 111,14,,,กุมภวาปี,กุมภวาปี,อุดรธานี,41110,897127758,12500000,10,530
1936,3-105-35/63อด,1.04101E+13,บริษัท จึงจิบเชียง รีไซเคิล 2008 จำกัด,บริษัท จึงจิบเชียง รีไซเคิล 2008 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,"เลขที่ น.ส.3 ก เลขที่ 284, 286",16,,อุดรธานี - สกลนคร,หนองนาคำ,เมืองอุดรธานี,อุดรธานี,41000,813202057,3500000,30,175
1937,3-105-69/63อด,1.04102E+13,วงษ์พาณิชย์ สาขากุมภวาปี,นางสาวจิรัฐิติกานต์ เทพนวล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 332,4,,,พันดอน,กุมภวาปี,อุดรธานี,41370,943166878,3464500,10,221
1938,3-105-91/62อด,1.04103E+13,บริษัท แอ๊ดวานซ์ เอเชีย เพาเวอร์ แพลนท์ จำกัด ,บริษัท แอ๊ดวานซ์ เอเชีย เพาเวอร์ แพลนท์ จำกัด,คัดแยกและฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตรายจากโรงงาน,"เลขที่ โฉนดที่ดินเลขที่ 14420-14430, 43511-43512, 57402",4,,,เชียงหวาง,เพ็ญ,อุดรธานี,40310,089-8163312,140000000,30,2584
1939,3-105-99/48อด,1.041E+13,ป.ศิริ,นายสมบุญ สุขสมบูรณ์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,เลขที่ 22,11,บ้านท่าตูม,อุดร-หนองคาย,หมูม่น,เมืองอุดรธานี,อุดรธานี,41000,,20000000,20,711.52
1940,3-106-10/62อด,1.04101E+13,อุดรพืชผล,นายภูวดล เอื้ออรัญวัฒน์,ลานตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 12900,12901 และ น.ส. 3 ก. เลขที่ 1657",6,,,หนองวัวซอ,หนองวัวซอ,อุดรธานี,41360,,18000000,2,180
1941,3-106-12/54อด,1.041E+13,บริษัท ภัทรรีไซเคิ้ลเพื่อสิ่งแวดล้อม จำกัด,บริษัท ภัทรรีไซเคิ้ลเพื่อสิ่งแวดล้อม จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้วมาผลิตเป็นน้ำมันเชื้อเพลิงทดแทน น้ำมันทาแบบ ทำเชื้อเพลิงผสมจากกากตะกอนน้ำมัน วัสดุดูดซับ รีไซเคิลไส้กรองน้ำมัน เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 222,8,-,-,ผักตบ,หนองหาน,อุดรธานี,41130,,3000000,10,313.75
1942,3-106-13/62อด,1.04101E+13,ขวัญเมืองเทรดดิ้ง,นางกิตติมา ฤทธิ์วาณิช,ตากกากแป้งมันสำปะหลัง,เลขที่ โฉนดที่ดินเลขที่ 10582,4,,ทางหลวงชนบท อด 4074,เมืองเพีย,กุดจับ,อุดรธานี,41250,097-3188111,4900000,3,385
1943,3-106-15/62อด,1.04101E+13,โชคเจริญพืชผล,นายศิริศักดิ์ แก่นศักดิ์ศิริ,ตากกากแป้งมันสำปะหลัง,เลขที่ โฉนดที่ดินเลขที่ 22158,3,,,กุดจับ,กุดจับ,อุดรธานี,41250,081-8730668,12600000,3,284
1944,3-106-18/49อด,1.041E+13,บริษัท เทพมงคล สตีล จำกัด,บริษัท เทพมงคล สตีล จำกัด,ปรับปรุงคุณภาพน้ำมันเครื่องเก่าที่ใช้แล้ว,เลขที่ 111,14,บ้านดงเมือง,ข้างโรงงานน้ำตาลกุมภวาปี,กุมภวาปี,กุมภวาปี,อุดรธานี,41110,0 4220 2625,7500000,14,372.2
1945,3-106-25/47อด,1.04101E+13,อุดรไลท์ออยล์,นายดำรงศักดิ์ อำนาจพิชิตไพรี,ทำน้ำมันผสมสีทาบ้าน,เลขที่ 147,7,,บ้านหนองวัวซอใต้,หนองวัวซอ,หนองวัวซอ,อุดรธานี,41360,,5700000,10,111.8
1946,3-106-25/54อด,1.041E+13,นายวันชัย บูรพา,นายวันชัย บูรพา,ตากกากแป้งมันสำปะหลัง,เลขที่ 178,8,บ้านน้ำพ่นพัฒนา,-,น้ำพ่น,หนองวัวซอ,อุดรธานี,41360,,4800000,3,155
1947,3-106-26/54อด,1.041E+13,นายสันติ บูรพา,นายสันติ บูรพา,ตากกากแป้งมันสำปะหลัง,เลขที่ 99,3,บ้านดงบัง,-,กุดจับ,กุดจับ,อุดรธานี,41250,,9000000,3,155
1948,3-106-28/54อด,1.041E+13,จรูญพืชผล,บริษัท เพื่อนแท้เกษตรกร จำกัด,ตากกากแป้งมันสำปะหลัง,เลขที่ 89,4,บ้านสามขาสันติสุขใต้,อุดรธานี-เลย,หนองบัวบาน,หนองวัวซอ,อุดรธานี,41360,042-285-842,10000000,3,150
1949,3-106-31/54อด,1.041E+13,ห้างหุ้นส่วนจำกัด โรงงานมันเส้นจรูญพืชผล ,ห้างหุ้นส่วนจำกัด โรงงานมันเส้นจรูญพืชผล ,ตากกากแป้งมันสำปะหลัง,เลขที่ 74,3,บ้านหนองแวงยาวเหนือ,อุดรธานี-เลย,หนองวัวซอ,หนองวัวซอ,อุดรธานี,41360,042-285842,5000000,3,150
1950,3-106-59/62อด,1.04103E+13,นายธัญญ์นิธิ บูรพา,นายธัญญ์นิธิ บูรพา,ตากกากมันสำปะหลัง,เลขที่ โฉนดที่ดินเลขที่ 144625,1,,,โคกสะอาด,เมืองอุดรธานี,อุดรธานี,41000,,15500000,4,655
1951,3-106-61/60อด,1.041E+13,บริษัท ไทยโซริด รีนิวเอเบิล เอ็นเนอร์ยี่ จำกัด,บริษัท ไทยโซริด รีนิวเอเบิล เอ็นเนอร์ยี่ จำกัด,ทำเชื้อเพลิงอัดแข็งที่ผลิตจากของเสียไม่เป็นอันตราย (Solid Recovery Fuel) และทำปุ๋ย สารปรับปรุงดิน จากขยะชุมชน,เลขที่ โฉนดที่ดินเลขที่ 142718 และ 142719,10,-,-,หนองนาคำ,เมืองอุดรธานี,อุดรธานี,41000,0 2713 9470,440183000,80,1265.2
1952,3-106-65/62อด,1.04103E+13,นางสาวชนัดดา หมุดธรรม,นางสาวชนัดดา หมุดธรรม,ตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 5810,9772,8107",16,,,จำปี,ศรีธาตุ,อุดรธานี,41230,085-4837895,7500000,4,285
1953,3-106-65/63อด,1.04102E+13,ปิยะดา,นางสาวไกรสร  โสภิณ,ตากกากมันสำปะหลัง,เลขที่ 124,6,,,จำปี,ศรีธาตุ,อุดรธานี,41230,832916255,42786000,4,820
1954,3-106-70/63อด,1.04103E+13,สกุลเจียง,นายตรีรัตน์ สุขาภิรมย์,ลานตากกากมันสำปะหลัง,เลขที่ 16,11,,,เวียงคำ,กุมภวาปี,อุดรธานี,41110,877755667,38566000,2,700
1955,จ3-105-113/51อด,2.041E+13,ยิ่งสมบูรณ์,นายพยุทธ ศรีแสงทอง,"คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่มิใช่วัตถุอัตรายหรือมีพิษ เพื่อนำกลับมาใช้ใหม่ เช่น เศษกระดาษเก่า, หนังสือเก่า, เหล้ก, ขวด, ทองเหลือง, ทองแดง,อลูมิเนียม",เลขที่ 36/4,3,บ้านชัยพร,มิตรภาพ,โนนสูง,เมืองอุดรธานี,อุดรธานี,41330,,2100000,10,69
1956,จ3-105-96/52อด,2.041E+13,บริษัท อุดรเปเปอร์ รีไซเคิล จำกัด,บริษัท อุดรเปเปอร์ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ อัดเศษกระดาษ และอัดเศษขวดพลาสติก,เลขที่ 121,6,,อุดรธานี-สกลนคร,หนองขอนกว้าง,เมืองอุดรธานี,อุดรธานี,41000,042-290304,15500000,32,494.5
1957,3-105-60/49นค,1.043E+13,บริษัท ไทยรักษ์ไทย สตีล จำกัด,บริษัท ไทยรักษ์ไทย สตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษเหล็ก เศษโลหะต่าง ๆ และอัดเศษกระดาษ อัดเศษโลหะ,เลขที่ 174/1,7, -,มิตรภาพ,หนองกอมเกาะ,เมืองหนองคาย,หนองคาย,43000,0 6857 0025,6000000,15,66.5
1958,3-101-4/51มค,1.044E+13,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด,บริษัท เจริญ อินเตอร์ สตาร์ช จำกัด,บำบัดน้ำเสียรวม,เลขที่ 82,7,บ้านช่องน้อย,-,กำพี้,บรบือ,มหาสารคาม,44130,,145512020,1,323
1959,3-106-50/51มค,1.044E+13,ห้างหุ้นส่วนจำกัด ตวงสุข เอ็นจิเนียริ่ง กรุ๊ป,ห้างหุ้นส่วนจำกัด ตวงสุข เอ็นจิเนียริ่ง กรุ๊ป,นำน้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน นำน้ำมันหล่อลื่นที่ใช้แล้วมาผลิตเป็นน้ำมันหยอดทิ้ง น้ำมันเอนกประสงค์ น้ำมันทาแบบและน้ำมันเลี้ยงโซ่ และล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ 113,7,-,-,หนองคูขาด,บรบือ,มหาสารคาม,44130,082-2939445,9000000,10,257.48
1960,จ3-105-217/50มค,2.044E+13,บริษัท ศูนย์การจัดการวัสดุเหลือใช้ จำกัด,บริษัท ศูนย์การจัดการวัสดุเหลือใช้ จำกัด,"บดและล้างเศษแก้ว , อัดเศษเหล็ก",เลขที่ 401,11,-,-,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,44000,043-778007,29000000,27,393.5
1961,3-106-20/61รอ,1.045E+13,นายณัฐพล เม่นบางผึ้ง,นายณัฐพล เม่นบางผึ้ง,ลานตากกากมันสำปะหลัง,เลขที่ 179,9,บ้านหนองทับครัว,,หนองใหญ่,โพนทอง,ร้อยเอ็ด,45110,08 2889 8387,9600000,2,155
1962,3-106-32/63รอ,1.04501E+13,นายธนนท์ เกียรติกังวาฬไกล,นายธนนท์ เกียรติกังวาฬไกล,ตากกากมันสำปะหลัง,เลขที่ 183,7,,,แวง,โพนทอง,ร้อยเอ็ด,45110,851772714,13520000,5,225
1963,จ3-105-253/51รอ,2.045E+13,สินสมบูรณ์,นางสาวอจลา สุทธิสัมพัทน์,คัดแยกสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ 22,12,,,ขอนแก่น,เมืองร้อยเอ็ด,ร้อยเอ็ด,45000,081-9364677,4800000,20,172
1964,จ3-105-68/52รอ,2.045E+13,ส.ขยะทอง,นายจิรศักดิ์ ผาติเจริญชัย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตราย และอัดเศษกระดาษ และอัดเศษโลหะ,เลขที่ 115,5,,,จังหาร,จังหาร,ร้อยเอ็ด,45000,081-1111-191,6700000,20,215
1965,3-105-34/49กส,1.046E+13,พรรณทรัพย์,นายเข็ม ฤทธิ์มหา,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาสติก เศษไม้ เศษโลหะ เศษยาง เศษแก้ว เศษผ้า เท่านั้น,เลขที่ 136,6, -,-,เว่อ,ยางตลาด,กาฬสินธุ์,46120,081-7036514,1310000,52,0
1966,3-105-38/60กส,1.046E+13,บริษัท บ่อทอง กาฬสินธุ์ จำกัด,บริษัท บ่อทอง กาฬสินธุ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 25408,15,-,-,หัวนาคำ,ยางตลาด,กาฬสินธุ์,46120,,19500000,16,1420
1967,3-105-95/60กส,1.046E+13,บริษัท กาฬสินธุ์รุ่งเรือง ไบโอ เพาเวอร์ 2012 จำกัด,บริษัท กาฬสินธุ์รุ่งเรือง ไบโอ เพาเวอร์ 2012 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ ,14,,,หลักเมือง,กมลาไสย,กาฬสินธุ์,46130,,13180000,28,615.85
1968,3-106-1/58กส,1.046E+13,โชคไพศาล,นางสมควร ไพศาล,ตากกากแป้งมันสำปะหลัง,เลขที่ โฉนดที่ดินเลขที่ 3202,11,-,กาฬสินธุ์-สกลนคร,ผาเสวย,สมเด็จ,กาฬสินธุ์,46150,,7500000,4,180
1969,3-106-14/54กส,1.046E+13,ลานมัน ต.พีชผล,นายชูศักดิ์ ตังคณิตานนท์,ตากกากแป้งมันสำปะหลัง,เลขที่ -,1,-,-,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,081 6706329,2000000,4,115
1970,3-106-15/58กส,1.046E+13,พรชัยพืชผล,นางสำเร็จ ไกยฝ้าย,ตากกากมันสำปะหลังและทำมันเส้น,เลขที่ 237,2,,,นาบอน,คำม่วง,กาฬสินธุ์,46180,087-8533644,14900000,6,435
1971,3-106-16/58กส,1.046E+13,พรชัยพืชผล,นายชาญชัย สาระขันธ์,ตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 27834,27835",5,-,สมเด็จ-กุฉินารายณ์ (2042),สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,,10600000,6,265
1972,3-106-18/59กส,1.046E+13,ลานมันกาฬสินธุ์อินเตอร์,นายจิรวัฒน์ จันทร์เจริญแท้,ลานตากกากมันสำปะหลัง,เลขที่ 119,6,-,-,ลำห้วยหลัว,สมเด็จ,กาฬสินธุ์,40000,08 5529 6699,23100000,6,270
1973,3-106-19/56กส,1.04601E+13,นางวาสนา แสบงบาล,นางวาสนา แสบงบาล,ลานตากกากมันสำปะหลัง,เลขที่ 34,8,-,-,คำบง,ห้วยผึ้ง,กาฬสินธุ์,46240,,8750000,1,280
1974,3-106-2/58กส,1.046E+13,ลานมันงี่ชง,นายสุชาติ ยุววิทยาพานิช,ตากกากแป้งมันสำปะหลัง,เลขที่ 182,14,-,กาฬสินธุ์-สมเด็จ,หนองแวง,สมเด็จ,กาฬสินธุ์,46150,,7500000,4,180
1975,3-106-2/59กส,1.046E+13,สินเจริญ,นายสินชัย นิยมธรรม,ตากกากมันสำปะหลัง,เลขที่ 36,8,-,กาฬสินธุ์-สมเด็จ,นาจารย์,เมืองกาฬสินธุ์,กาฬสินธุ์,46000,08 1184 1000,4500000,4,180
1976,3-106-2/62กส,1.046E+13,ลานมันง่วนเชียง,นายวิเชียร พงศ์ธนารักษ์,ลานตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 12904,4775,6466",3,-,-,ศรีสมเด็จ,สมเด็จ,กาฬสินธุ์,46150,084-5539666,4600000,24,425
1977,3-106-22/57กส,1.046E+13,ศรีเจริญพืชผล,นายประกาย พรมคำบุตร,ตากกากแป้งมันสำปะหลัง,เลขที่ ,1,-,ถีนานนท์,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,0 4386 1180,4000000,5,180
1978,3-106-23/57กส,1.046E+13,ลานมานิตย์,นายไสว อุทุมทอง,ตากกากแป้งมันสำปะหลัง,เลขที่ ,1,-,-,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,087 854 9436,4000000,5,180
1979,3-106-24/63กส,1.04601E+13,ศรีเจริญคำบง,นางพรหมพร  กุลศักดิ์,ตากกากแป้งมันสำปะหลัง,เลขที่ 241,1,,สมเด็จ-กุฉินารายณ์,คำบง,ห้วยผึ้ง,กาฬสินธุ์,46240,818739497,4000000,5,180
1980,3-106-37/57กส,1.046E+13,ลานมันพูนพัฒนา,นายประพงษ์ แสนสุข,ตากกากแป้นมันสำปะหลัง,เลขที่ ,11,-,หนองผ้าอ้อม-นามน,ยอดแกง,นามน,กาฬสินธุ์,46230,,5500000,4,180
1981,3-106-38/57กส,1.046E+13,รุ่งโรจน์พัฒนา,นายนิธิกาน กาญจน์วรกฤต,ตากกากแป้งมันสำปะหลัง,เลขที่ 217,9,-,สมเด็จ-คำม่วง,หนองแวง,สมเด็จ,กาฬสินธุ์,46150,,7500000,5,360
1982,3-106-51/61กส,1.046E+13,ลานมันลิ้มไทเฮง,นายเกรียงไกร จิตรชิรานันท์,ตากกากแป้งมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 10329, 8098-8100",3,,สมเด็จ-ท่าเรือลำปาว (2041),ศรีสมเด็จ,สมเด็จ,กาฬสินธุ์,46150,09 4576 1865,21400000,7,380
1983,3-106-56/64กส,1.04604E+13,ลานมันวิชาญ,นายวิชาญ แซ่คู,ตากกากมันสำปะหลัง,เลขที่ 1,10,,,โนนแหลมทอง,สหัสขันธ์,กาฬสินธุ์,46140,08-1965-6589,13000000,3,292
1984,3-106-6/61กส,1.046E+13,ศิริโพธิ์ทอง,นายพิสิษฐ์ งามเกียรติทรัพย์,ตากกากแป้งมันสำปะหลัง,เลขที่ 99,3,,,คำใหญ่,ห้วยเม็ก,กาฬสินธุ์,46170,09 2364 2539,11000000,5,255
1985,3-106-62/64กส,1.04604E+13,ลานมันจ่าโย,นางสาวโสมระพี  สุขวิบูลย์,ลานตากกากมันสำปะหลัง,เลขที่ 240,1,,,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,,8900000,2,172
1986,3-106-73/61กส,1.046E+13,ทวีชัย,นายวิชัย สมบูรณ์,ตากกากแป้งมันสำปะหลัง,เลขที่ น.ส.3 ก เลขที่ 2112,11,,,กุดจิก,ท่าคันโท,กาฬสินธุ์,46190,094-5761865,9600000,7,390
1987,3-106-76/62กส,1.04603E+13,ลานมันทองคำพืชผล,นางสาวพรทิภา นัทยาย,ลานตากกากมันสำปะหลัง,เลขที่ 211,1,,,สมเด็จ,สมเด็จ,กาฬสินธุ์,46150,095-6455914,2500000,3,151
1988,จ3-105-136/51กส,2.046E+13,กิจเจริญ,นายประพันธ์ กัลยากฤต,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษโลหะ เศษพลาสติก เศษแก้ว เศษยาง เศษผ้า เท่านั้น,เลขที่ -,9,-,สมเด็จ-คำม่วง,หนองแวง,สมเด็จ,กาฬสินธุ์,46150,043-823500,2800000,7,94
1989,3-101-3/59สน,1.047E+13,ห้างหุ้นส่วนจำกัด ที.โอ.เอ็ม.กรีน,ห้างหุ้นส่วนจำกัด ที.โอ.เอ็ม.กรีน,ปรับคุณภาพของเสียรวม เผาขยะมูลฝอยติดเชื้อ,เลขที่ โฉนดที่ดินเลขที่ 58145 ,1,-,สายบ้านดงมะไฟ-ภูเพ็ก,ขมิ้น,เมืองสกลนคร,สกลนคร,47220,08 1183 8856,7200000,3,1180
1990,3-105-105/62สน,1.04703E+13,อรุณโรจน์ 2,นายวีระศักดิ์ อรุณประเสริฐกุล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 29242 ,2,,,ฮางโฮง,เมืองสกลนคร,สกลนคร,47000,087-1236900,4300000,7,372
1991,3-105-99/61สน,1.047E+13,วงษ์พาณิชย์สกลนคร,นางสาวใจรัก ตันไพบูลย์กุล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 229,13,,สกลนคร-กาฬสินธุ์,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,47000,42972014,11000000,6,267
1992,3-101-2/49มห,1.049E+13,โรงงานปรับปรุงคุณภาพน้ำเสียเทศบาลเมืองมุกดาหาร,เทศบาลเมืองมุกดาหาร,บำบัดน้ำเสียรวม,เลขที่ -,0,ทองสุขอารีย์,ชยางกูร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,49000,0 4261 1227,259439129,8,242.5
1993,3-106-32/58มห,1.049E+13,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด,ลานตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 28081, 28101, 28102, 28103, 28104, 28105, 28198, 28199, 28959, 28960, 29316, 29317, 23919, 29326,29384 ",8,,,คำป่าหลาย,เมืองมุกดาหาร,มุกดาหาร,49000,0 4264 3818,50000000,5,241
1994,3-106-9/58มห,1.049E+13,สุวิทย์พืชผล,นางสาวจารุณี เชื้อคำจันทร์,ลานตากกากมันสำปะหลัง,เลขที่ โฉนดที่ดินเลขที่ 7291,6,,,ดงหลวง,ดงหลวง,มุกดาหาร,49140,085-7381548,2500000,5,179
1995,3-105-112/48ชม,1.05E+13,ห้างหุ้นส่วนจำกัด วัฒนะปิโตร ซัพพลาย,ห้างหุ้นส่วนจำกัด วัฒนะปิโตร ซัพพลาย,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษกระดาษ พลาสติก โลหะ และนำตัวทำละลายใช้แล้ว มาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน และนำน้ำมันใช้แล้วมาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน น้ำมันทาแบบและน้ำมันหยอดทิ้ง,เลขที่ ,8, -, -,ลวงเหนือ,ดอยสะเก็ด,เชียงใหม่,50220,,1250000,7,118
1996,3-105-24/56ชม,1.05E+13,อรัญญาพลาสติก,นางอรัญญา ประยูรโภคราช,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 1/3,7,-,วงแหวนรอบสาม,ท่าวังตาล,สารภี,เชียงใหม่,50140,,4400000,6,145
1997,3-105-58/63ชม,1.05002E+13,บริษัท ส.รวมเศษ สันทราย จำกัด,บริษัท ส.รวมเศษ สันทราย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 414,2,,,แม่แฝก,สันทราย,เชียงใหม่,50290,818815314,70000000,30,545
1998,3-105-81/49ชม,1.05E+13,ห้างหุ้นส่วนจำกัด ท้าวบุญเรือง,ห้างหุ้นส่วนจำกัด ท้าวบุญเรือง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาสติก เศษโลหะ อัดเศษกระดาษและบดย่อยพลาสติก,เลขที่ 65,14, -, -,ข่วงเปา,จอมทอง,เชียงใหม่,50160,053-341157,4500000,11,78
1999,3-105-83/47ชม,1.05E+13,ห้างหุ้นส่วนจำกัด บี.บี.บี. เพาเวอร์,ห้างหุ้นส่วนจำกัด บี.บี.บี. เพาเวอร์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 321,9,,เชียงใหม่-ฮอด,หารแก้ว,หางดง,เชียงใหม่,50230,,870000,5,145
2000,3-106-8/63ชม,1.05E+13,บริษัท ชินโชติสุทธิธนาภูมิ จำกัด,บริษัท ชินโชติสุทธิธนาภูมิ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว โดยกระบวนการกรองซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ และดัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 39469,2,,,บ้านกลาง,สันป่าตอง,เชียงใหม่,50120,,13000000,20,497
